"Español","English"
"arreglar","to fix"
"las reformas","the work to fix something"
"enloquecida","crazed"
"recoger","to collect"
"desbordar","to be without limits"
"desbordante","spilling over the edges"
"fallecer","to pass away"
"morir","to die"
"grosero/a","rude"
"viejo/a","old"
"anciano/a","old (more respectfully)"
"o mejor","older / elder"
"hechos reales","real life / facts"
"mono/a","cute"
"la vajilla","the croquery"
"orilla","riverbank"
"recien nacido","recently born"
"negar","to deny"
"la prensa","the press"
"personalizar","to personalise"
"principiente","amateur"
"azotea","rooftop bar"
"aerolínea","airline"
"haz numeros","""do the numbers"""
"tintorería","washing service"
"lavadaría","a launderette"
"evitar","to avoid"
"sin animo de lucro","a non-profit"
"lucrarse","to get money"
"amenazar","to threaten"
"comarca","region"
"gastar","to spend"
"compartar","to bring with / to imply"
"exigir","to demand"
"sentir rabia","to feel angry"
"el reisgo","the risk"
"reivindicar","to reclaim / to defend"
"impuesto","a tax"
"parados/as","the unemployed"
"ayuntamiento","the local government"
"aparcar","to park (a vehicle)"
"enseñanza","education"
"atragantarse","to choke"
"en lugar de","in place of"
"acción","a share / a stock"
"la apertura","the opening"
"la marea morada","the purple tide (feminist movement)"
"rescatar","to rescue"
"mattrato","abuse / mistreatment"
"apoyer","to support "
"estar herido","to be wounded"
"ahorrar","to save"
"poder permitirse","to be able to afford"
"el salseo","the gossip"
"me da pena","I feel bad"
"vale le pena","worth the pain"
"me ilusiona","to be excited about something coming"
"el oso perezosa","a sloth"
"me da pereza","I don't have the energy to "
"perezoso/a","lazy"
"miedoso/a","easily scared"
"tener celos","to be jealous"
"barriga / tripa","a tummy (fat)"
"consentir","to pamper / to always give in to"
"pelea","a discussion"
"un puente","a bridge / a bank holiday"
"Que va!","No way!"
"A mi modo de ver","From my point of view"
"comentar","to chat to someone"
"bisabuelo/a","great-grandfather/mother"
"escenario","stage / scenery"
"estar de baja","be on leave (from work)"
"apetecer","to feel like doing something"
"quejarse","to complain"
"paracerse","to resemble"
